[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
789.810	-50.470	72.133	103.067	116.391
789.748	-13.225	73.595	103.571	116.882
789.686	39.178	75.039	104.076	117.372
789.624	64.773	76.458	104.581	117.863
789.562	52.751	77.845	105.088	118.354
789.500	53.899	79.191	105.594	118.845
789.438	65.728	80.490	106.102	119.336
789.376	56.822	81.734	106.609	119.826
789.314	56.975	82.916	107.118	120.318
789.252	72.539	84.028	107.627	120.808
789.189	67.070	85.063	108.136	121.299
789.127	12.164	86.014	108.646	121.789
789.065	-61.315	86.875	109.156	122.281
789.003	-37.693	87.639	109.667	122.771
788.941	13.521	88.301	110.178	123.262
788.879	-23.166	88.855	110.689	123.753
788.817	-50.807	89.297	111.201	124.244
788.755	-12.333	89.621	111.713	124.735
788.693	68.053	89.824	112.226	125.225
788.631	139.777	89.902	112.739	125.716
788.569	160.296	89.853	113.253	126.207
788.507	118.163	89.674	113.768	126.698
788.445	64.274	89.364	114.282	127.189
788.382	45.144	88.923	114.798	127.679
788.320	31.677	88.351	115.314	128.171
788.258	5.232	87.648	115.831	128.661
788.196	-23.871	86.816	116.349	129.152
788.134	0.373	85.857	116.868	129.642
788.072	54.715	84.776	117.388	130.134
788.010	44.413	83.576	117.909	130.624
787.948	50.564	82.262	118.432	131.115
787.886	109.247	80.842	118.956	131.606
787.824	85.574	79.322	119.482	132.097
787.762	17.831	77.710	120.011	132.588
787.700	4.616	76.018	120.542	133.078
787.637	20.214	74.255	121.076	133.569
787.575	30.866	72.436	121.614	134.060
787.513	18.618	70.574	122.157	134.551
787.451	-11.635	68.688	122.705	135.042
787.389	-31.642	66.798	123.259	135.532
787.327	-1.999	64.926	123.821	136.024
787.265	46.473	63.101	124.392	136.514
787.203	76.394	61.355	124.973	137.005
787.141	87.958	59.725	125.566	137.495
787.079	58.726	58.253	126.171	137.987
787.017	-16.524	56.984	126.790	138.477
786.955	-53.095	55.964	127.421	138.968
786.893	-19.680	55.227	128.060	139.459
786.830	44.210	54.796	128.703	139.950
786.768	58.941	54.671	129.345	140.441
786.706	33.693	54.830	129.979	140.931
786.644	74.533	55.234	130.601	141.422
786.582	91.563	55.836	131.210	141.913
786.520	30.450	56.588	131.806	142.404
786.458	38.796	57.445	132.388	142.895
786.396	90.138	58.369	132.958	143.385
786.334	83.566	59.328	133.518	143.877
786.272	38.054	60.294	134.069	144.367
786.210	12.360	61.248	134.613	144.858
786.148	48.785	62.171	135.150	145.348
786.085	56.626	63.050	135.681	145.840
786.023	19.015	63.874	136.207	146.330
785.961	29.740	64.634	136.730	146.821
785.899	52.057	65.323	137.248	147.312
785.837	47.163	65.935	137.764	147.803
785.775	56.670	66.467	138.276	148.294
785.713	56.166	66.915	138.786	148.784
785.651	22.229	67.277	139.294	149.275
785.589	28.412	67.553	139.799	149.766
785.527	53.419	67.743	140.303	150.257
785.465	26.920	67.846	140.805	150.747
785.403	5.925	67.866	141.305	151.238
785.340	17.226	67.804	141.804	151.729
785.278	26.933	67.663	142.301	152.220
785.216	20.369	67.447	142.797	152.711
785.154	17.222	67.160	143.291	153.201
785.092	62.475	66.807	143.784	153.692
785.030	85.167	66.394	144.276	154.183
784.968	41.340	65.925	144.767	154.674
784.906	43.348	65.407	145.256	155.165
784.844	47.228	64.846	145.745	155.655
784.782	-28.781	64.250	146.232	156.147
784.720	-49.202	63.624	146.718	156.637
784.658	-2.326	62.976	147.204	157.128
784.596	11.179	62.313	147.688	157.619
784.533	23.206	61.642	148.172	158.110
784.471	47.770	60.969	148.655	158.600
784.409	45.214	60.301	149.137	159.091
784.347	35.891	59.644	149.619	159.582
784.285	52.212	59.004	150.100	160.073
784.223	100.186	58.386	150.581	160.564
784.161	114.519	57.796	151.062	161.054
784.099	65.459	57.237	151.543	161.545
784.037	63.428	56.714	152.024	162.036
783.975	55.889	56.230	152.506	162.527
783.913	-41.601	55.787	152.989	163.018
783.851	-51.312	55.387	153.473	163.508
783.788	22.202	55.032	153.959	164.000
783.726	22.687	54.723	154.446	164.490
783.664	25.357	54.461	154.936	164.981
783.602	45.467	54.245	155.429	165.472
783.540	-10.888	54.076	155.925	165.963
783.478	-43.166	53.953	156.424	166.453
783.416	17.695	53.876	156.928	166.944
783.354	85.298	53.846	157.437	167.435
783.292	102.319	53.863	157.951	167.926
783.230	79.078	53.927	158.471	168.417
783.168	106.892	54.038	158.997	168.907
783.106	117.342	54.199	159.531	169.398
783.044	28.504	54.411	160.071	169.889
782.981	-0.225	54.675	160.619	170.380
782.919	59.848	54.994	161.175	170.871
782.857	106.445	55.370	161.738	171.361
782.795	70.344	55.801	162.307	171.853
782.733	16.156	56.289	162.882	172.343
782.671	74.721	56.831	163.462	172.834
782.609	80.004	57.422	164.045	173.325
782.547	-3.381	58.055	164.630	173.816
782.485	29.221	58.723	165.214	174.306
782.423	57.773	59.416	165.798	174.797
782.361	-2.201	60.122	166.381	175.288
782.299	22.192	60.830	166.961	175.779
782.236	61.296	61.530	167.539	176.270
782.174	26.328	62.211	168.115	176.760
782.112	61.061	62.866	168.689	177.251
782.050	119.129	63.486	169.261	177.742
781.988	85.742	64.066	169.833	178.233
781.926	43.255	64.604	170.404	178.724
781.864	26.170	65.097	170.975	179.214
781.802	18.272	65.547	171.545	179.705
781.740	53.063	65.954	172.116	180.196
781.678	77.317	66.322	172.688	180.687
781.616	-4.980	66.656	173.259	181.178
781.554	-43.095	66.961	173.831	181.668
781.492	22.513	67.244	174.402	182.159
781.429	70.546	67.510	174.972	182.650
781.367	84.452	67.765	175.541	183.141
781.305	79.241	68.015	176.109	183.631
781.243	58.731	68.263	176.674	184.123
781.181	57.414	68.513	177.236	184.613
781.119	82.020	68.766	177.796	185.104
781.057	70.159	69.022	178.352	185.595
780.995	41.689	69.283	178.904	186.086
