[frequency (THz)]	[wavelength (nm)]	[intensity]	[phase (rad)]
328.739	912.577	0.000	-498.392
328.677	912.749	0.000	-499.935
328.615	912.922	0.000	-501.482
328.553	913.094	0.000	-503.028
328.491	913.267	0.000	-504.575
328.429	913.439	0.000	-506.125
328.367	913.612	0.000	-507.672
328.305	913.785	0.000	-509.224
328.243	913.958	0.000	-510.774
328.181	914.131	0.000	-512.327
328.119	914.304	0.000	-513.881
328.056	914.477	0.000	-515.433
327.994	914.650	0.000	-516.990
327.932	914.823	0.000	-518.546
327.870	914.996	0.000	-520.103
327.808	915.169	0.000	-521.664
327.746	915.343	0.000	-523.227
327.684	915.516	0.000	-524.789
327.622	915.690	0.000	-526.357
327.560	915.863	0.000	-527.926
327.498	916.037	0.000	-529.497
327.436	916.210	0.000	-531.073
327.374	916.384	0.000	-532.655
327.311	916.558	0.000	-534.241
327.249	916.732	0.000	-535.833
327.187	916.906	0.000	-537.436
327.125	917.080	0.000	-539.048
327.063	917.254	0.000	-540.673
327.001	917.428	0.000	-542.313
326.939	917.602	0.000	-543.976
326.877	917.776	0.000	-545.665
326.815	917.951	0.000	-547.394
326.753	918.125	0.000	-549.169
326.691	918.300	0.000	-550.974
326.629	918.474	0.000	-552.805
326.567	918.649	0.000	-554.648
326.504	918.824	0.000	-556.501
326.442	918.998	0.000	-558.358
326.380	919.173	0.000	-560.223
326.318	919.348	0.000	-562.094
326.256	919.523	0.000	-563.963
326.194	919.698	0.000	-565.840
326.132	919.873	0.000	-567.717
326.070	920.048	0.000	-569.596
326.008	920.223	0.000	-571.475
325.946	920.399	0.000	-573.356
325.884	920.574	0.000	-575.241
325.822	920.749	0.000	-577.123
325.759	920.925	0.000	-579.011
325.697	921.100	0.000	-580.895
325.635	921.276	0.000	-582.785
325.573	921.452	0.000	-584.674
325.511	921.627	0.000	-586.565
325.449	921.803	0.000	-588.457
325.387	921.979	0.000	-590.349
325.325	922.155	0.000	-592.247
325.263	922.331	0.000	-594.142
325.201	922.507	0.000	-596.042
325.139	922.683	0.000	-597.944
325.077	922.859	0.000	-599.847
325.015	923.036	0.000	-601.754
324.952	923.212	0.000	-603.661
324.890	923.388	0.000	-605.572
324.828	923.565	0.000	-607.488
324.766	923.741	0.000	-609.406
324.704	923.918	0.000	-611.326
324.642	924.095	0.000	-613.253
324.580	924.271	0.000	-615.182
324.518	924.448	0.000	-617.115
324.456	924.625	0.000	-619.053
324.394	924.802	0.000	-620.995
324.332	924.979	0.000	-622.942
324.270	925.156	0.000	-624.895
324.207	925.333	0.000	-626.853
324.145	925.510	0.000	-628.814
324.083	925.688	0.000	-630.786
324.021	925.865	0.000	-632.761
323.959	926.043	0.000	-634.742
323.897	926.220	0.000	-636.728
323.835	926.398	0.000	-638.722
323.773	926.575	0.000	-640.725
323.711	926.753	0.000	-642.727
323.649	926.931	0.000	-644.742
323.587	927.109	0.000	-646.761
323.525	927.286	0.000	-648.785
323.463	927.464	0.000	-650.815
323.400	927.642	0.000	-652.851
323.338	927.821	0.000	-654.893
323.276	927.999	0.000	-656.938
323.214	928.177	0.000	-658.993
323.152	928.355	0.000	-661.046
323.090	928.534	0.000	-663.109
323.028	928.712	0.000	-665.175
322.966	928.891	0.000	-667.245
322.904	929.069	0.000	-669.320
322.842	929.248	0.000	-671.395
322.780	929.427	0.000	-673.479
322.718	929.605	0.000	-675.560
322.655	929.784	0.000	-677.647
322.593	929.963	0.000	-679.735
322.531	930.142	0.000	-681.824
322.469	930.321	0.000	-683.913
322.407	930.500	0.000	-686.002
322.345	930.680	0.000	-688.088
322.283	930.859	0.000	-690.169
322.221	931.038	0.000	-692.246
322.159	931.217	0.000	-694.314
322.097	931.397	0.000	-696.374
322.035	931.577	0.000	-698.425
321.973	931.756	0.000	-700.469
321.911	931.936	0.000	-702.507
321.848	932.116	0.000	-704.540
321.786	932.296	0.000	-706.572
321.724	932.475	0.000	-708.601
321.662	932.655	0.000	-710.632
321.600	932.835	0.000	-712.664
321.538	933.016	0.000	-714.696
321.476	933.196	0.000	-716.729
321.414	933.376	0.000	-718.766
321.352	933.556	0.000	-720.806
321.290	933.737	0.000	-722.849
321.228	933.917	0.000	-724.896
321.166	934.098	0.000	-726.943
321.103	934.278	0.000	-729.000
321.041	934.459	0.000	-731.056
320.979	934.640	0.000	-733.118
320.917	934.820	0.000	-735.185
320.855	935.001	0.000	-737.255
320.793	935.182	0.000	-739.333
320.731	935.363	0.000	-741.411
320.669	935.544	0.000	-743.499
320.607	935.726	0.000	-745.587
320.545	935.907	0.000	-747.685
320.483	936.088	0.000	-749.785
320.421	936.269	0.000	-751.891
320.359	936.451	0.000	-754.003
320.296	936.632	0.000	-756.120
320.234	936.814	0.000	-758.246
320.172	936.995	0.000	-760.370
320.110	937.177	0.000	-762.507
320.048	937.359	0.000	-764.647
319.986	937.541	0.000	-766.790
319.924	937.723	0.000	-768.941
319.862	937.905	0.000	-771.096
319.800	938.087	0.000	-773.258
319.738	938.269	0.000	-775.420
319.676	938.451	0.000	-777.592
319.614	938.634	0.000	-779.765
319.551	938.816	0.000	-781.941
319.489	938.998	0.000	-784.124
319.427	939.181	0.000	-786.307
319.365	939.363	0.000	-788.496
319.303	939.546	0.000	-790.688
319.241	939.729	0.000	-792.885
319.179	939.911	0.000	-795.081
319.117	940.094	0.000	-797.280
319.055	940.277	0.000	-799.484
318.993	940.460	0.000	-801.687
318.931	940.643	0.000	-803.892
318.869	940.826	0.000	-806.099
318.806	941.010	0.000	-808.309
318.744	941.193	0.000	-810.516
318.682	941.376	0.000	-812.727
318.620	941.560	0.000	-814.935
318.558	941.743	0.000	-817.142
318.496	941.927	0.000	-819.348
318.434	942.110	0.000	-821.555
318.372	942.294	0.000	-823.755
318.310	942.478	0.000	-825.956
318.248	942.662	0.000	-828.156
318.186	942.845	0.000	-830.348
318.124	943.030	0.000	-832.541
318.062	943.214	0.000	-834.726
317.999	943.398	0.000	-836.912
317.937	943.582	0.000	-839.091
317.875	943.766	0.000	-841.268
317.813	943.951	0.000	-843.445
317.751	944.135	0.000	-845.616
317.689	944.320	0.000	-847.788
317.627	944.504	0.000	-849.957
317.565	944.689	0.000	-852.125
317.503	944.873	0.000	-854.289
317.441	945.058	0.000	-856.455
317.379	945.243	0.000	-858.620
317.317	945.428	0.000	-860.782
317.254	945.613	0.000	-862.948
317.192	945.798	0.000	-865.110
317.130	945.983	0.000	-867.275
317.068	946.168	0.000	-869.438
317.006	946.354	0.000	-871.600
316.944	946.539	0.000	-873.766
316.882	946.725	0.000	-875.927
316.820	946.910	0.000	-878.093
316.758	947.096	0.000	-880.255
316.696	947.281	0.000	-882.422
316.634	947.467	0.000	-884.587
316.572	947.653	0.000	-886.752
316.510	947.839	0.000	-888.917
316.447	948.025	0.000	-891.081
316.385	948.211	0.000	-893.248
316.323	948.397	0.000	-895.414
316.261	948.583	0.000	-897.582
316.199	948.769	0.000	-899.748
316.137	948.956	0.000	-901.917
316.075	949.142	0.000	-904.086
316.013	949.328	0.000	-906.254
315.951	949.515	0.000	-908.423
315.889	949.701	0.000	-910.596
315.827	949.888	0.000	-912.767
315.765	950.075	0.000	-914.938
315.702	950.262	0.000	-917.113
315.640	950.449	0.000	-919.288
315.578	950.636	0.000	-921.464
315.516	950.823	0.000	-923.642
315.454	951.010	0.000	-925.821
315.392	951.197	0.000	-928.000
315.330	951.384	0.000	-930.185
315.268	951.572	0.000	-932.370
315.206	951.759	0.000	-934.554
315.144	951.947	0.000	-936.746
315.082	952.134	0.000	-938.937
315.020	952.322	0.000	-941.132
314.958	952.509	0.000	-943.328
314.895	952.697	0.000	-945.528
314.833	952.885	0.000	-947.734
314.771	953.073	0.000	-949.936
314.709	953.261	0.000	-952.148
314.647	953.449	0.000	-954.362
314.585	953.637	0.000	-956.579
314.523	953.825	0.000	-958.800
314.461	954.014	0.000	-961.025
314.399	954.202	0.000	-963.255
314.337	954.390	0.000	-965.486
314.275	954.579	0.000	-967.729
314.213	954.768	0.000	-969.969
314.150	954.956	0.000	-972.219
314.088	955.145	0.000	-974.473
314.026	955.334	0.000	-976.732
313.964	955.523	0.000	-978.997
313.902	955.712	0.000	-981.266
313.840	955.901	0.000	-983.546
313.778	956.090	0.000	-985.827
313.716	956.279	0.000	-988.118
313.654	956.468	0.000	-990.415
313.592	956.658	0.000	-992.719
313.530	956.847	0.000	-995.031
313.468	957.037	0.000	-997.350
313.406	957.226	0.000	-999.679
313.343	957.416	0.000	-1002.014
313.281	957.606	0.000	-1004.361
313.219	957.795	0.000	-1006.715
313.157	957.985	0.000	-1009.080
313.095	958.175	0.000	-1011.454
313.033	958.365	0.000	-1013.839
312.971	958.555	0.000	-1016.233
312.909	958.746	0.000	-1018.637
312.847	958.936	0.000	-1021.050
312.785	959.126	0.000	-1023.471
312.723	959.317	0.000	-1025.903
312.661	959.507	0.000	-1028.340
312.598	959.698	0.000	-1030.787
312.536	959.888	0.000	-1033.239
312.474	960.079	0.000	-1035.699
312.412	960.270	0.000	-1038.164
312.350	960.460	0.000	-1040.635
312.288	960.652	0.000	-1043.113
312.226	960.842	0.000	-1045.592
312.164	961.034	0.000	-1048.083
312.102	961.225	0.000	-1050.573
312.040	961.416	0.000	-1053.071
311.978	961.607	0.000	-1055.574
311.916	961.799	0.000	-1058.083
311.853	961.990	0.000	-1060.600
311.791	962.182	0.000	-1063.116
311.729	962.373	0.000	-1065.650
311.667	962.565	0.000	-1068.185
311.605	962.757	0.000	-1070.731
311.543	962.949	0.000	-1073.288
311.481	963.140	0.000	-1075.856
311.419	963.332	0.000	-1078.437
311.357	963.525	0.000	-1081.028
311.295	963.717	0.000	-1083.634
311.233	963.909	0.000	-1086.242
311.171	964.101	0.000	-1088.866
311.109	964.294	0.000	-1091.495
311.046	964.486	0.000	-1094.126
310.984	964.679	0.000	-1096.765
310.922	964.871	0.000	-1099.407
310.860	965.064	0.000	-1102.055
310.798	965.257	0.000	-1104.700
310.736	965.450	0.000	-1107.350
310.674	965.643	0.000	-1110.004
310.612	965.836	0.000	-1112.655
310.550	966.029	0.000	-1115.309
310.488	966.222	0.000	-1117.964
310.426	966.415	0.000	-1120.620
310.364	966.608	0.000	-1123.277
310.301	966.802	0.000	-1125.938
310.239	966.995	0.000	-1128.594
310.177	967.189	0.000	-1131.254
310.115	967.382	0.000	-1133.916
310.053	967.576	0.000	-1136.577
309.991	967.770	0.000	-1139.238
309.929	967.964	0.000	-1141.903
309.867	968.158	0.000	-1144.572
309.805	968.351	0.000	-1147.238
309.743	968.546	0.000	-1149.910
309.681	968.740	0.000	-1152.583
309.619	968.934	0.000	-1155.262
309.557	969.128	0.000	-1157.941
309.494	969.323	0.000	-1160.628
309.432	969.517	0.000	-1163.320
309.370	969.712	0.000	-1166.019
309.308	969.906	0.000	-1168.729
309.246	970.101	0.000	-1171.443
309.184	970.296	0.000	-1174.173
309.122	970.491	0.000	-1176.908
309.060	970.686	0.000	-1179.660
308.998	970.881	0.000	-1182.420
308.936	971.076	0.000	-1185.194
308.874	971.271	0.000	-1187.984
308.812	971.466	0.000	-1190.782
308.749	971.662	0.000	-1193.600
308.687	971.857	0.000	-1196.427
308.625	972.052	0.000	-1199.275
308.563	972.248	0.000	-1202.141
308.501	972.444	0.000	-1205.022
308.439	972.639	0.000	-1207.924
308.377	972.835	0.000	-1210.839
308.315	973.031	0.000	-1213.771
308.253	973.227	0.000	-1216.706
308.191	973.423	0.000	-1219.656
308.129	973.619	0.000	-1222.610
308.067	973.815	0.000	-1225.566
308.005	974.012	0.000	-1228.533
307.942	974.208	0.000	-1231.498
307.880	974.405	0.000	-1234.473
307.818	974.601	0.000	-1237.445
307.756	974.798	0.000	-1240.425
307.694	974.994	0.000	-1243.406
307.632	975.191	0.000	-1246.385
307.570	975.388	0.000	-1249.371
307.508	975.585	0.000	-1252.357
307.446	975.782	0.000	-1255.344
307.384	975.979	0.000	-1258.334
307.322	976.176	0.000	-1261.329
307.260	976.373	0.000	-1264.319
307.197	976.571	0.000	-1267.316
307.135	976.768	0.000	-1270.313
307.073	976.965	0.000	-1273.309
307.011	977.163	0.000	-1276.306
306.949	977.360	0.000	-1279.308
306.887	977.558	0.000	-1282.309
306.825	977.756	0.000	-1285.309
306.763	977.954	0.000	-1288.316
306.701	978.152	0.000	-1291.321
306.639	978.350	0.000	-1294.327
306.577	978.548	0.000	-1297.331
306.515	978.746	0.000	-1300.343
306.453	978.944	0.000	-1303.350
306.390	979.143	0.000	-1306.360
306.328	979.341	0.000	-1309.376
306.266	979.540	0.000	-1312.387
306.204	979.738	0.000	-1315.405
306.142	979.937	0.000	-1318.421
306.080	980.136	0.000	-1321.439
306.018	980.335	0.000	-1324.456
305.956	980.533	0.000	-1327.477
305.894	980.733	0.000	-1330.504
305.832	980.932	0.000	-1333.523
305.770	981.131	0.000	-1336.553
305.708	981.330	0.000	-1339.581
305.645	981.529	0.000	-1342.612
305.583	981.729	0.000	-1345.644
305.521	981.928	0.000	-1348.677
305.459	982.128	0.000	-1351.718
305.397	982.327	0.000	-1354.756
305.335	982.527	0.000	-1357.803
305.273	982.727	0.000	-1360.848
305.211	982.927	0.000	-1363.902
305.149	983.127	0.000	-1366.958
305.087	983.327	0.000	-1370.017
305.025	983.527	0.000	-1373.081
304.963	983.727	0.000	-1376.148
304.900	983.928	0.000	-1379.226
304.838	984.128	0.000	-1382.304
304.776	984.328	0.000	-1385.391
304.714	984.529	0.000	-1388.485
304.652	984.730	0.000	-1391.586
304.590	984.930	0.000	-1394.696
304.528	985.131	0.000	-1397.813
304.466	985.332	0.000	-1400.940
304.404	985.533	0.000	-1404.081
304.342	985.734	0.000	-1407.230
304.280	985.935	0.000	-1410.386
304.218	986.136	0.000	-1413.560
304.156	986.337	0.000	-1416.740
304.093	986.539	0.000	-1419.929
304.031	986.740	0.000	-1423.127
303.969	986.942	0.000	-1426.333
303.907	987.143	0.000	-1429.546
303.845	987.345	0.000	-1432.765
303.783	987.547	0.000	-1435.993
303.721	987.749	0.000	-1439.223
303.659	987.951	0.000	-1442.461
303.597	988.153	0.000	-1445.704
303.535	988.355	0.000	-1448.952
303.473	988.557	0.000	-1452.203
303.411	988.759	0.000	-1455.460
303.348	988.962	0.000	-1458.728
303.286	989.164	0.000	-1461.989
303.224	989.367	0.000	-1465.266
303.162	989.569	0.000	-1468.543
303.100	989.772	0.000	-1471.826
