[frequency (THz)]	[wavelength (nm)]	[intensity]	[phase (rad)]
400.380	749.288	0.000	-131.776
400.318	749.404	0.000	-131.312
400.256	749.520	0.000	-130.850
400.194	749.637	0.000	-130.392
400.132	749.753	0.000	-129.938
400.070	749.869	0.000	-129.486
400.008	749.986	0.000	-129.038
399.946	750.102	0.000	-128.593
399.884	750.218	0.000	-128.150
399.821	750.335	0.000	-127.709
399.759	750.451	0.000	-127.271
399.697	750.568	0.000	-126.834
399.635	750.685	0.000	-126.399
399.573	750.801	0.000	-125.965
399.511	750.918	0.000	-125.533
399.449	751.035	0.000	-125.101
399.387	751.152	0.000	-124.670
399.325	751.268	0.000	-124.240
399.263	751.385	0.000	-123.810
399.201	751.502	0.000	-123.381
399.139	751.619	0.000	-122.952
399.076	751.736	0.000	-122.525
399.014	751.853	0.000	-122.097
398.952	751.970	0.000	-121.669
398.890	752.087	0.000	-121.242
398.828	752.204	0.000	-120.814
398.766	752.321	0.000	-120.388
398.704	752.438	0.000	-119.960
398.642	752.555	0.000	-119.533
398.580	752.672	0.000	-119.106
398.518	752.790	0.000	-118.678
398.456	752.907	0.000	-118.250
398.394	753.024	0.000	-117.821
398.332	753.142	0.000	-117.393
398.269	753.259	0.000	-116.963
398.207	753.376	0.000	-116.533
398.145	753.494	0.000	-116.102
398.083	753.611	0.000	-115.670
398.021	753.729	0.000	-115.238
397.959	753.846	0.000	-114.803
397.897	753.964	0.000	-114.368
397.835	754.082	0.000	-113.931
397.773	754.199	0.000	-113.493
397.711	754.317	0.000	-113.052
397.649	754.435	0.000	-112.609
397.587	754.553	0.000	-112.165
397.524	754.671	0.000	-111.717
397.462	754.788	0.000	-111.266
397.400	754.906	0.000	-110.811
397.338	755.024	0.000	-110.352
397.276	755.142	0.000	-109.888
397.214	755.260	0.000	-109.418
397.152	755.378	0.000	-108.942
397.090	755.496	0.000	-108.458
397.028	755.615	0.000	-107.965
396.966	755.733	0.000	-107.464
396.904	755.851	0.000	-106.951
396.842	755.969	0.000	-106.429
396.780	756.087	0.000	-105.898
396.717	756.206	0.000	-105.355
396.655	756.324	0.000	-104.804
396.593	756.443	0.000	-104.243
396.531	756.561	0.000	-103.673
396.469	756.679	0.000	-103.090
396.407	756.798	0.000	-102.491
396.345	756.916	0.000	-101.868
396.283	757.035	0.000	-101.208
396.221	757.154	0.000	-100.513
396.159	757.272	0.000	-99.793
396.097	757.391	0.000	-99.058
396.035	757.510	0.000	-98.314
395.972	757.628	0.000	-97.564
395.910	757.747	0.000	-96.810
395.848	757.866	0.000	-96.052
395.786	757.985	0.000	-95.293
395.724	758.104	0.000	-94.531
395.662	758.223	0.000	-93.768
395.600	758.342	0.000	-93.003
