[frequency (THz)]	[signal]	[dc signal]	[interferogram phase (rad)]	[linear phase (rad)]
412.734	226.453	288.799	128.921	128.020
412.672	212.172	288.032	129.418	128.510
412.610	207.978	287.214	129.914	128.999
412.548	225.779	286.352	130.410	129.488
412.486	328.414	285.448	130.905	129.977
412.424	236.346	284.508	131.401	130.467
412.362	220.722	283.537	131.895	130.956
412.300	320.128	282.538	132.390	131.445
412.237	339.480	281.516	132.884	131.934
412.175	271.519	280.477	133.378	132.424
412.113	200.884	279.425	133.871	132.913
412.051	228.506	278.364	134.363	133.402
411.989	247.393	277.300	134.855	133.891
411.927	290.021	276.237	135.347	134.381
411.865	258.952	275.180	135.837	134.870
411.803	146.044	274.132	136.327	135.359
411.741	213.966	273.100	136.816	135.848
411.679	248.230	272.086	137.303	136.338
411.617	176.933	271.097	137.790	136.827
411.555	245.087	270.135	138.275	137.316
411.492	261.496	269.205	138.758	137.805
411.430	330.089	268.312	139.239	138.295
411.368	260.144	267.460	139.718	138.784
411.306	193.866	266.654	140.194	139.273
411.244	217.832	265.898	140.666	139.762
411.182	118.130	265.197	141.136	140.252
411.120	325.042	264.556	141.601	140.741
411.058	263.222	263.982	142.061	141.230
410.996	160.159	263.479	142.515	141.719
410.934	377.836	263.054	142.964	142.209
410.872	334.154	262.715	143.405	142.698
410.810	243.614	262.467	143.840	143.187
410.748	218.433	262.317	144.268	143.676
410.685	357.706	262.272	144.688	144.166
410.623	258.636	262.336	145.104	144.655
410.561	204.147	262.511	145.515	145.144
410.499	206.927	262.795	145.925	145.633
410.437	329.519	263.184	146.336	146.123
410.375	247.191	263.668	146.752	146.612
410.313	269.444	264.235	147.173	147.101
410.251	217.994	264.872	147.602	147.590
410.189	262.898	265.566	148.040	148.080
410.127	264.044	266.301	148.488	148.569
410.065	275.487	267.067	148.944	149.058
410.003	326.641	267.852	149.409	149.547
409.940	168.078	268.648	149.881	150.037
409.878	226.497	269.446	150.361	150.526
409.816	304.543	270.241	150.848	151.015
409.754	218.713	271.028	151.340	151.504
409.692	284.983	271.803	151.838	151.994
409.630	262.220	272.563	152.340	152.483
409.568	277.530	273.305	152.847	152.972
409.506	182.016	274.029	153.358	153.461
409.444	310.190	274.734	153.872	153.951
409.382	249.466	275.417	154.390	154.440
409.320	207.606	276.078	154.910	154.929
409.258	201.884	276.718	155.433	155.418
409.195	254.061	277.336	155.958	155.908
409.133	362.447	277.931	156.486	156.397
409.071	299.468	278.503	157.015	156.886
409.009	312.331	279.053	157.546	157.375
408.947	333.864	279.580	158.079	157.865
408.885	209.174	280.083	158.613	158.354
408.823	275.647	280.563	159.149	158.843
408.761	249.901	281.020	159.685	159.332
408.699	319.694	281.452	160.223	159.822
408.637	296.792	281.860	160.762	160.311
408.575	276.845	282.242	161.301	160.800
408.513	288.610	282.599	161.842	161.289
408.451	208.562	282.931	162.383	161.779
408.388	265.579	283.236	162.925	162.268
408.326	207.180	283.514	163.467	162.757
408.264	344.024	283.765	164.010	163.246
408.202	282.680	283.988	164.554	163.736
408.140	254.988	284.183	165.098	164.225
408.078	204.405	284.351	165.642	164.714
408.016	231.198	284.490	166.188	165.203
407.954	262.142	284.601	166.733	165.693
407.892	154.434	284.684	167.279	166.182
407.830	242.999	284.740	167.825	166.671
407.768	258.290	284.768	168.371	167.160
407.706	376.540	284.769	168.918	167.650
407.643	282.269	284.744	169.465	168.139
407.581	262.350	284.693	170.012	168.628
407.519	218.795	284.617	170.560	169.117
407.457	334.215	284.517	171.107	169.607
407.395	302.636	284.394	171.654	170.096
407.333	245.447	284.248	172.201	170.585
407.271	222.483	284.080	172.748	171.074
407.209	238.238	283.892	173.295	171.564
407.147	276.058	283.683	173.841	172.053
407.085	293.155	283.455	174.387	172.542
407.023	325.235	283.209	174.933	173.031
406.961	251.896	282.944	175.477	173.521
406.899	291.678	282.661	176.021	174.010
